#{"t_start": 1754430633.5431983, "env_id": "None"}
r,l,t
98.45,165,3.625741
112.34,119,3.903742
113.09,133,4.230742
117.49,62,4.414271
26.62,200,5.035272
-10.96,200,5.633483
115.27,74,5.842484
-3.14,200,6.345484
117.94,67,6.751486
121.57,180,7.291008
42.92,200,7.882502
47.41,200,8.463505
32.47,200,9.065503
-16.41,200,9.584502
106.14,63,9.814342
19.14,200,10.36934
18.07,200,10.873344
44.52,200,11.350865
38.39,200,12.053403
46.43,200,12.601563
19.16,200,13.119562
129.09,91,13.368561
10.46,200,13.846096
52.1,200,14.366015
119.67,33,14.444537
52.23,200,14.938063
31.98,200,15.441064
99.51,167,15.895062
49.0,200,16.458621
44.7,200,16.952364
-27.32,200,17.750892
45.75,200,18.234891
57.7,200,18.792021
114.61,118,19.077638
52.1,200,19.581636
34.08,200,20.072634
48.81,200,20.558638
-10.86,200,21.084679
66.1,200,21.592214
32.73,200,22.06021
34.31,200,22.908213
140.6,162,23.368255
13.91,200,24.084252
18.55,200,24.691256
0.88,200,25.585065
51.21,200,26.101062
20.65,200,26.738123
38.63,200,27.285121
134.79,185,28.034116
41.41,200,28.679112
57.0,200,29.161111
41.91,200,29.744652
46.52,200,30.312894
49.73,200,30.8669
39.92,200,31.363431
10.55,200,31.873429
42.8,200,32.416561
0.79,200,32.891093
50.0,200,33.591097
39.52,200,34.074623
33.42,200,34.660811
29.87,200,35.129808
138.64,186,35.606808
125.37,123,35.920865
45.8,200,36.397923
33.07,200,36.944152
49.9,200,37.448153
139.61,180,37.87315
48.53,200,38.564155
42.42,200,39.154763
52.2,200,39.832291
-3.8,200,40.276291
57.61,200,40.737292
54.1,200,41.214681
38.57,200,41.676257
53.2,200,42.11125
52.2,200,42.680778
48.82,200,43.152781
46.73,200,43.658192
46.12,200,44.113195
49.0,200,44.617194
126.13,98,44.861192
35.28,200,45.327195
38.3,200,45.857276
56.11,200,46.335278
121.26,64,46.48128
40.63,200,46.951282
118.7,40,47.032805
128.34,87,47.237803
29.47,200,47.742809
41.41,200,48.273475
145.01,179,48.715473
48.2,200,49.169472
-0.56,200,49.638471
145.05,198,50.150429
47.7,200,50.629953
49.0,200,51.120542
88.82,84,51.324076
44.21,200,51.803085
110.89,11,51.828077
114.73,48,51.954076
-12.53,200,52.481066
30.99,200,52.927063
105.21,191,53.374065
38.7,200,53.838066
57.7,200,54.291066
19.43,200,54.7885
133.76,155,55.147499
-17.27,200,55.565499
44.53,200,56.021497
125.21,79,56.1935
104.09,35,56.27803
26.41,200,56.772434
-42.66,200,57.233038
102.18,15,57.27304
42.71,200,57.745038
49.1,200,58.254035
131.4,110,58.512562
10.27,200,59.01117
30.27,200,59.462338
44.6,200,59.887341
124.4,82,60.062397
135.97,185,60.477399
135.48,144,60.803395
30.78,200,61.376178
41.54,200,61.830178
46.31,200,62.278178
46.8,200,62.767177
34.34,200,63.196179
46.31,200,63.686651
49.41,200,64.124646
138.52,170,64.486188
45.81,200,64.949189
40.94,200,65.453185
125.44,86,65.689382
27.08,200,66.138382
30.51,200,66.625385
37.84,200,67.113917
38.94,200,67.584915
43.9,200,68.105061
39.85,200,68.582061
