#{"t_start": 1754431410.8431542, "env_id": "None"}
r,l,t
7.64,200,4.752844
-16.14,200,4.816848
19.68,200,4.882844
25.85,200,4.947846
101.94,162,5.023848
-5.54,200,5.090849
7.03,200,5.152359
32.61,200,5.284367
122.69,165,5.379797
121.41,122,5.420794
2.57,200,5.497805
114.86,132,5.570795
12.42,200,5.659794
25.72,200,5.734796
-3.93,200,5.799798
36.71,200,5.864802
7.94,200,5.943797
28.82,200,6.012794
124.45,194,6.073802
32.74,200,6.135796
131.46,177,6.201796
-3.52,200,6.265795
22.87,200,6.328803
28.22,200,6.395794
25.74,200,6.475802
12.81,200,6.5458
34.12,200,10.551227
91.35,34,10.645227
26.26,200,11.449258
97.89,192,12.106856
108.45,169,12.957389
102.17,116,13.223384
-14.73,200,13.786459
11.34,200,14.446457
108.48,65,14.693459
106.96,124,14.995456
-8.69,200,15.477455
91.21,159,15.824457
113.91,92,16.054803
45.41,200,16.578808
41.63,200,17.000805
24.59,200,17.417804
130.23,128,17.641806
-5.37,200,17.963803
116.07,43,18.038803
117.69,150,18.370645
145.13,199,18.709643
41.64,200,19.539658
37.06,200,20.665599
95.53,58,20.826604
123.33,78,21.002601
113.62,29,21.067601
117.54,140,21.5616
132.52,98,21.941133
121.85,98,22.247134
33.66,200,22.785446
13.55,200,23.446447
-27.2,200,24.027978
-109.52,200,24.509974
124.5,135,26.778286
39.42,200,27.557411
121.71,69,27.727417
-9.48,200,28.123464
111.65,112,28.297467
3.45,200,28.622471
35.24,200,28.982467
125.97,149,29.260468
119.59,91,29.431468
40.52,200,29.834637
135.33,171,30.124633
130.86,176,30.435636
119.89,94,30.645634
108.47,24,30.71064
134.84,189,30.98269
22.19,200,31.31469
128.64,137,31.549688
112.01,62,31.648688
8.87,200,32.005724
-25.13,200,32.274725
147.42,199,32.575725
43.63,200,33.027257
41.51,200,33.335256
114.73,37,33.403258
20.41,200,33.713256
106.7,67,33.841795
112.2,30,33.905792
114.54,36,34.016761
42.04,200,34.387166
14.12,200,34.751164
28.69,200,35.048165
129.32,119,35.223166
128.85,95,35.370166
19.36,200,35.804167
106.1,87,36.597187
-1.61,200,36.901181
33.07,200,37.40819
38.64,200,37.741181
41.06,200,38.028191
-2.29,200,38.623046
124.63,109,38.774641
106.61,56,38.869642
29.55,200,39.19964
3.56,200,39.517642
44.52,200,39.87164
18.45,200,40.600639
117.64,78,40.832229
39.74,200,41.17185
124.49,171,41.531847
42.41,200,41.861874
104.62,30,41.898873
122.56,54,41.992873
47.74,200,42.420877
47.01,200,43.01452
111.19,43,43.103814
131.39,122,43.315387
51.27,164,43.632392
-29.01,200,44.026388
12.44,200,44.38939
128.09,92,44.536389
121.85,95,44.690391
128.37,83,44.913923
117.27,53,45.046925
112.97,123,45.426395
53.8,200,46.129468
45.6,200,46.563473
56.2,200,47.074468
5.35,200,48.181344
43.94,200,48.580345
108.01,109,48.782344
120.61,123,49.04234
131.6,111,49.217344
111.04,26,49.260343
42.14,200,49.721349
52.7,200,50.06253
104.71,54,50.151533
37.14,200,50.524533
123.86,74,50.655532
50.6,200,51.014532
45.42,200,51.452533
111.04,26,51.498533
136.78,154,51.754532
109.01,19,51.788533
115.02,123,52.045179
45.41,200,52.403327
42.23,200,52.839823
-26.75,200,53.481326
40.23,200,53.982327
14.74,200,54.426723
104.63,18,54.471722
129.68,191,54.994725
43.6,200,55.701724
47.81,200,56.228723
38.44,200,56.612288
43.11,200,56.92329
32.36,200,57.327292
38.13,200,57.680285
137.24,157,57.974287
33.15,200,58.36429
-128.09,200,59.342381
112.94,36,59.398376
111.49,31,59.452376
39.61,200,59.774377
-137.03,200,60.255909
45.0,200,60.774914
48.4,200,61.348629
47.51,200,61.877624
134.25,126,62.121623
47.2,200,62.564626
46.1,200,63.883739
41.61,200,66.054057
24.68,200,66.774062
50.9,200,69.044735
47.23,200,70.273264
47.4,200,71.584133
42.0,200,72.42613
49.01,200,73.169664
120.98,72,73.388662
41.82,200,73.848182
40.91,200,74.179174
45.7,200,74.515174
125.35,96,74.740706
-74.31,200,75.277707
124.61,89,75.419703
-14.66,200,75.970284
25.61,200,76.475283
138.59,182,76.804281
37.76,200,77.139283
42.12,200,78.391306
43.4,200,78.827372
53.21,200,79.161375
5.66,200,79.50237
47.71,200,79.822373
136.33,177,80.120369
50.52,200,80.499091
-19.46,200,80.821091
45.02,200,81.131093
33.88,200,81.475093
90.52,65,81.576095
110.77,13,81.601093
41.41,200,81.967092
96.65,101,82.142092
121.06,54,82.229089
-56.49,200,82.59672
48.4,200,82.948209
51.0,200,83.281211
9.78,200,83.603209
40.12,200,83.920211
-40.83,200,84.246259
25.79,150,84.500256
-114.82,200,84.885437
45.0,200,85.222438
115.56,34,85.283439
16.54,200,85.623439
-2.39,200,85.991441
14.37,200,86.495441
135.1,120,86.904441
48.41,200,88.038464
79.49,181,88.566466
45.35,200,89.057461
52.4,200,89.509562
41.93,200,89.892561
139.13,137,90.21311
40.12,200,90.599104
42.52,200,90.967106
7.24,200,91.342639
31.0,200,91.758431
132.55,145,92.038425
77.09,97,92.219426
7.15,200,92.600426
30.61,200,92.97196
42.0,200,93.684959
50.4,200,94.050732
39.41,200,94.399732
8.69,200,94.719731
-17.68,200,95.095792
-3.33,200,95.637792
48.7,200,96.109679
-64.6,200,96.464682
40.61,200,96.795687
41.12,200,97.187684
43.51,200,97.757685
43.4,200,98.241778
43.8,200,98.91978
43.5,200,100.807268
41.41,200,101.298848
43.8,200,101.815847
41.02,200,102.24585
39.01,200,102.658851
43.8,200,103.308946
43.4,200,103.745937
42.91,200,104.165469
-90.31,200,104.564467
43.9,200,104.987468
43.9,200,105.455441
43.4,200,105.839443
43.4,200,106.268504
49.4,200,106.674501
14.62,200,107.100569
45.21,200,107.584396
49.41,200,107.929422
45.31,200,108.291421
40.81,200,108.761425
43.4,200,109.182947
43.3,200,109.556951
21.39,200,110.223939
43.91,200,110.566929
13.43,200,110.970462
44.5,200,111.36746
40.82,200,112.973759
40.51,200,113.667344
37.52,200,114.670319
-56.4,200,115.577682
38.91,200,116.014727
26.7,200,116.416481
51.0,200,116.790593
41.22,200,117.196588
43.3,200,117.522587
36.42,200,118.016587
-151.32,200,118.377588
46.4,200,118.903929
41.11,200,119.259932
43.62,200,119.588928
40.73,200,119.92246
37.02,200,120.262461
43.11,200,120.672465
45.51,200,121.145536
45.11,200,121.551531
-46.14,200,121.987531
35.03,200,122.42853
43.0,200,122.820534
36.74,200,123.264556
41.41,200,123.731769
24.4,200,124.422767
-43.25,200,126.890411
54.8,200,127.37541
46.61,200,127.80619
60.5,200,128.388722
18.91,200,128.882722
1.08,200,129.385727
45.2,200,129.848725
41.91,200,130.319288
56.7,200,130.876287
44.8,200,131.337291
48.5,200,131.766285
40.71,200,132.42899
30.85,200,132.875588
43.3,200,133.281588
33.74,200,133.659589
-85.22,200,134.397723
42.41,200,135.453444
38.41,200,136.075435
37.3,200,136.637438
42.4,200,137.240672
38.3,200,137.694668
40.7,200,138.031671
40.0,200,138.434675
40.3,200,139.159385
14.63,200,139.723836
40.9,200,140.731358
-30.32,200,141.168953
37.9,200,141.590781
40.7,200,141.996308
-78.39,200,142.328307
39.9,200,142.654304
39.9,200,143.009307
40.6,200,143.605869
-51.12,200,143.957433
41.8,200,144.300436
42.7,200,144.641432
146.15,196,144.997949
40.91,200,145.344949
40.8,200,145.68195
42.3,200,146.127609
-83.96,200,147.696608
36.12,200,148.206019
39.9,200,148.595657
40.2,200,149.137656
49.3,200,149.708665
40.2,200,150.175659
15.31,200,150.656494
11.29,200,151.178496
41.2,200,151.564491
39.41,200,151.950496
48.2,200,153.16966
34.36,200,153.556662
19.84,200,153.906659
44.11,200,154.252659
41.31,200,154.617661
40.7,200,155.045341
35.92,200,155.412333
-19.03,200,155.758338
40.2,200,156.105869
46.11,200,156.459873
-126.02,200,156.818868
40.2,200,157.229111
10.42,200,157.631118
39.9,200,158.360644
44.0,200,158.733647
6.64,200,159.140645
64.4,200,159.642406
39.0,200,160.029933
30.86,200,160.417995
46.5,200,160.788054
40.21,200,161.167057
40.8,200,161.618066
38.81,200,161.977591
48.6,200,162.508701
108.22,176,162.899692
12.41,200,164.058604
40.12,200,164.431601
-28.94,200,164.870604
48.1,200,165.620604
-20.24,200,166.145656
28.81,200,166.623657
-83.51,200,167.090709
48.1,200,167.465711
19.76,200,167.841712
-0.21,200,168.238247
38.22,200,168.591489
47.15,150,168.863483
44.32,200,169.228485
40.22,200,169.557483
-38.86,200,169.887486
-21.82,200,170.239484
5.86,200,170.624248
25.26,200,170.975248
40.8,200,171.708244
44.81,200,172.058244
42.01,200,172.419245
42.81,200,172.796593
48.6,200,173.147593
41.62,200,173.47859
41.2,200,173.847593
-4.59,200,174.928353
48.7,200,175.289443
49.0,200,175.631441
45.51,200,175.975443
36.3,200,176.330442
43.61,200,176.697444
38.51,200,177.024444
46.7,200,177.401869
105.63,84,177.540868
39.44,200,177.882872
44.6,200,178.270869
46.1,200,178.600874
44.21,200,178.927869
44.0,200,179.307872
46.71,200,179.663441
42.9,200,180.20844
41.71,200,180.55844
-40.15,200,180.906441
124.07,104,181.081442
47.0,200,181.491441
123.74,56,181.626654
38.92,200,181.96832
3.37,200,182.307318
30.3,200,182.648849
23.72,200,182.979852
45.61,200,183.300854
46.9,200,183.616854
35.5,200,184.534276
17.65,200,184.862271
-52.39,200,185.21527
-3.9,200,185.542272
45.9,200,185.880793
109.53,117,186.104794
35.23,200,186.426795
39.51,200,186.838796
9.64,200,187.217795
44.51,200,187.582796
45.9,200,187.924798
46.1,200,188.292795
42.61,200,188.630952
46.1,200,188.961953
33.85,200,189.296487
43.6,200,189.616492
46.0,200,189.959486
-12.5,200,190.294489
-112.86,200,190.660259
42.22,200,190.979258
44.61,200,191.311256
46.1,200,191.630258
46.4,200,191.982259
139.66,175,192.296785
45.7,200,192.693931
46.4,200,193.521824
41.91,200,193.851823
-92.78,200,194.199353
47.9,200,194.529347
41.4,200,194.905351
-137.45,200,195.250916
46.1,200,195.608915
41.82,200,195.93344
48.0,200,196.28144
115.13,47,196.357439
46.0,200,196.693438
43.3,200,197.061441
-182.59,200,197.447872
-120.33,200,197.789868
46.01,200,198.175923
-104.3,200,198.626922
129.0,110,198.888917
44.5,200,199.411997
46.1,200,199.842107
35.17,200,200.370167
39.51,200,200.817164
46.5,200,201.19016
39.42,200,201.55482
46.51,200,201.906403
48.4,200,202.2384
-191.55,200,202.589403
37.73,200,202.916404
44.0,200,203.839988
42.01,200,204.173511
120.11,49,204.253512
51.7,200,204.590512
44.51,200,204.93251
14.2,200,205.271511
134.02,158,205.537513
-100.68,200,205.86051
38.82,200,206.245668
41.9,200,206.584669
-57.93,200,206.929667
8.84,200,207.295669
20.7,200,207.639667
20.52,200,207.982666
147.26,174,208.309891
-40.32,200,208.639892
-113.81,200,208.970891
106.39,12,208.990892
27.81,200,209.333425
41.81,200,209.666425
2.23,200,210.08344
27.82,200,210.468451
-30.61,200,210.81062
35.42,200,211.121621
-50.02,200,211.478626
29.1,200,211.846628
13.52,200,212.239629
46.5,200,213.270347
44.01,200,213.599346
46.4,200,213.964351
46.2,200,214.487956
-38.06,200,214.967826
48.2,200,215.390827
-82.72,200,215.780827
40.61,200,216.225375
33.2,200,216.718373
46.1,200,217.271647
33.3,200,217.794644
29.91,200,218.185709
40.91,200,218.554708
37.61,200,218.94371
-46.55,200,219.384778
43.61,200,220.012571
46.5,200,220.40457
44.1,200,220.915574
33.8,200,221.392093
35.3,200,221.933154
-41.55,200,222.289156
37.31,200,222.664216
46.21,200,223.034213
35.91,200,223.392222
44.8,200,223.796216
43.61,200,225.961735
23.56,200,226.620722
28.31,200,227.223725
41.01,200,227.753727
45.8,200,228.738599
46.9,200,229.266599
5.26,200,229.749601
46.1,200,230.383663
-89.19,200,230.826161
43.61,200,231.219684
42.5,200,231.587685
43.0,200,232.082681
35.16,200,232.458746
46.2,200,233.002612
29.17,200,233.389613
42.41,200,234.28162
39.0,200,234.666613
44.6,200,235.199316
25.21,200,235.601899
4.69,200,236.017897
-32.54,200,236.411429
41.01,200,236.828429
42.81,200,237.27543
43.31,200,237.684416
-143.92,200,238.094939
23.98,200,239.167334
44.9,200,239.56681
32.23,200,240.001935
43.9,200,240.445934
27.71,200,240.894939
35.93,200,241.286124
42.24,200,241.687121
37.6,200,242.205156
40.4,200,242.810154
44.0,200,243.263155
42.4,200,243.645153
40.0,200,244.044157
40.2,200,244.463279
34.74,200,244.824253
38.91,200,245.194312
42.9,200,245.568312
26.35,200,245.93731
42.9,200,246.420839
-47.93,200,247.040471
43.3,200,247.545471
41.3,200,248.036466
42.8,200,248.634967
-83.48,200,249.031094
46.8,200,249.555098
35.82,200,249.978096
42.8,200,251.108094
42.4,200,251.685089
40.4,200,252.072154
-79.26,200,252.435682
40.9,200,252.837684
-141.55,200,253.268552
37.61,200,253.860554
40.9,200,254.266551
38.31,200,254.716078
41.3,200,255.177078
41.3,200,255.559882
41.3,200,255.891883
39.31,200,256.231882
41.2,200,256.57341
40.9,200,256.996409
36.81,200,257.38841
37.91,200,257.787592
42.5,200,258.162595
43.3,200,258.554592
41.2,200,258.958593
42.5,200,259.365122
41.2,200,259.814662
37.91,200,260.194659
40.9,200,260.559666
40.9,200,260.929668
35.62,200,261.874665
40.8,200,262.303867
41.9,200,262.68587
42.91,200,263.045868
41.9,200,263.425873
36.32,200,263.821863
41.8,200,264.234589
-11.83,200,264.608592
38.4,200,265.002594
-38.79,200,265.432118
44.2,200,265.84612
41.8,200,266.265182
13.74,200,267.508687
33.93,200,267.963684
33.34,200,268.465685
-13.76,200,269.002602
44.1,200,269.453705
39.9,200,269.841703
32.93,200,270.20377
-51.72,200,270.56277
41.0,200,270.916771
40.2,200,271.319457
18.7,200,271.676508
42.3,200,272.033508
38.21,200,272.385509
10.15,200,273.28951
-3.63,200,273.73664
-10.0,200,274.160641
39.8,200,274.549637
41.01,200,274.897644
34.6,200,275.240641
42.1,200,275.66169
37.3,200,276.458186
-40.38,200,277.035188
37.4,200,277.527714
-74.0,200,277.998119
39.7,200,278.403218
34.42,200,278.863742
37.3,200,279.197742
37.7,200,279.669744
38.2,200,280.033746
-160.8,200,280.432138
12.63,200,280.78214
42.1,200,281.15614
37.7,200,281.495138
38.1,200,281.844138
-13.69,200,282.463856
35.7,200,282.902852
-20.04,200,283.305854
21.27,200,283.668852
32.11,200,284.915627
-15.96,200,285.301687
34.02,200,285.656685
21.7,200,286.001686
27.7,200,286.354688
17.3,200,286.709687
4.1,200,287.10041
-16.65,200,287.456445
29.71,200,287.813444
15.9,200,288.154972
2.5,200,288.495969
10.5,200,288.84497
-27.28,200,289.229574
-26.75,200,289.581574
9.2,200,289.937576
2.7,200,290.303109
0.1,200,290.643106
21.6,200,290.990161
-112.91,200,291.389464
29.4,200,291.756464
29.31,200,292.114469
-19.81,200,292.837269
43.6,200,293.193428
32.8,200,293.599704
40.3,200,293.979705
33.9,200,295.183761
39.7,200,295.556336
41.4,200,295.96108
37.3,200,296.715308
41.6,200,297.280751
