#{"t_start": 1754430355.9672458, "env_id": "None"}
r,l,t
-0.71,200,4.211661
9.74,200,4.438663
35.61,200,4.697832
0.53,200,4.946834
37.01,200,5.166129
118.45,76,5.246132
32.9,200,5.450132
111.98,108,5.55113
13.31,200,5.742131
17.68,200,5.931137
-3.84,200,6.123677
-60.5,200,6.311673
126.62,170,6.471669
19.79,200,6.858111
23.55,200,7.058694
11.2,200,7.25669
122.03,128,7.378714
21.26,200,7.569715
35.54,200,7.762715
14.71,200,7.950718
25.87,200,8.141717
13.4,200,8.333717
30.2,200,11.208507
117.78,140,11.378896
11.31,200,11.673897
114.16,76,11.783894
7.64,200,12.119892
25.52,200,12.442896
8.23,200,12.7359
123.11,99,12.829896
121.45,76,12.908894
22.47,200,13.109892
114.9,73,13.207892
10.21,200,13.475324
21.78,200,13.688652
105.59,36,13.729645
38.32,200,13.961743
124.05,87,14.061273
116.06,152,14.356807
22.17,200,14.710112
114.11,40,14.754113
22.46,200,15.088136
0.86,200,15.638437
12.74,200,15.87347
20.84,200,16.086477
21.87,200,16.352488
121.38,104,16.513488
119.9,101,16.643486
104.47,25,16.674494
-19.63,200,19.524822
24.85,200,19.912822
14.65,200,20.191846
13.89,200,20.535021
108.97,101,20.799548
135.6,190,21.088554
-8.52,200,21.439549
35.4,200,21.706549
-71.47,200,22.103557
-73.42,200,22.491559
23.64,200,22.774556
107.4,33,22.80756
17.96,200,23.024559
-32.19,200,23.26756
-5.84,200,23.50656
87.99,166,23.694561
127.58,142,23.860558
117.49,95,24.000567
15.47,200,24.298557
112.5,61,24.378562
130.39,192,24.673813
65.98,123,24.834816
124.39,194,25.082819
109.88,33,25.117821
102.08,49,25.174814
94.63,194,25.384817
32.12,200,30.411568
31.17,200,30.685608
25.83,200,30.936616
46.7,200,31.161663
107.55,157,31.353679
8.02,200,31.95759
109.5,76,32.070591
113.07,66,32.157608
125.39,121,32.388853
122.92,90,32.506864
104.51,75,32.58985
19.57,200,32.821149
7.32,200,33.045144
-7.33,200,33.267151
34.9,200,33.476579
99.2,67,33.544596
4.3,200,33.777464
116.61,49,33.850914
104.69,43,33.891916
22.47,200,34.114145
108.96,25,34.138145
42.3,200,34.331131
1.29,200,34.57767
49.1,200,34.827676
9.87,200,35.056674
86.62,180,35.239674
105.13,50,35.287674
111.54,46,35.335671
116.78,87,38.401951
21.61,200,38.653482
113.66,74,38.727484
121.36,150,38.891486
32.31,200,39.215485
61.72,105,39.416481
120.17,166,39.591486
111.36,14,39.605484
119.6,163,39.813506
111.45,70,39.8925
115.55,75,39.980519
115.49,52,40.038504
117.5,134,40.209656
121.07,177,40.440672
128.81,110,40.612851
134.98,142,40.778847
